mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
demonym,Argive,4.15,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
ethnic,Trojans,4.155,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
demonym,Olympian,4.160,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Ilios,4.160,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
ethnic,Trojans,4.170,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
demonym,Argive,4.170,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
ethnic,Trojans,4.175,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
demonym,Trojan,4.195,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
demonym,Lycian,4.195,365295RLyc,Lycia region (Asia Minor) 599 SW Asia Minor - Λυκία,36.5,29.5,region/people
ethnic,Trojans,4.20,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
place,Tricca,4.200,396218PTri,Trikka (Thessaly) 63 Trikkala - Τρίκκα,39.5564,21.7647,polity
demonym,Trojan,4.205,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
demonym,Lycian,4.205,365295RLyc,Lycia region (Asia Minor) 599 SW Asia Minor - Λυκία,36.5,29.5,region/people
ethnic,Trojans,4.220,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
ethnic,Argives,4.230,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
ethnic,Argives,4.240,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
ethnic,Trojans,4.245,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
ethnic,Cretans,4.250,352252IKre,Crete (Greece) 1562 Kriti - Κρήτη,35.2052,25.1836,region/people
ethnic,Argives,4.255,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
ethnic,Cretans,4.265,352252IKre,Crete (Greece) 1562 Kriti - Κρήτη,35.2052,25.1836,region/people
ethnic,Trojans,4.265,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
ethnic,Argives,4.285,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
ethnic,Pylians,4.290,370217XNes,Pylos/Palace of Nestor (Messenia) 171 Ano Englianos - Πύλος,37.027,21.695,site/excavation
place,Ilios,4.30,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
ethnic,Trojans,4.300,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
person,Gerenia,4.315,369222UGer,Gerenia? (Messenia) 78 Malta/Kambos - Γερηνία,36.934,22.195,polity
ethnic,Athenians,4.325,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Cephallenians,4.330,382206IKep,Kephallania (Kefallenia) 163 Kephallenia - Κεφαλληνία,38.2,20.59,island
ethnic,Trojans,4.330,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
ethnic,Trojans,4.335,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
ethnic,Trojans,4.35,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
ethnic,Trojans,4.350,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
ethnic,Trojans,4.355,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
place,Mycenae,4.375,377228PMyk,Mycenae (Argolid) 289 Mykines - Μυκήναι,37.7308,22.7561,polity
place,Thebes,4.375,396270PThe,Thebe (Aiolis) 60 Edremit - Θήβε,39.5974,27.0202,polity
