mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
person,Amyclaian,12.142,370224UAmy,Amyklai (Lakonia) 130 Amykles - Αμύκλαι,37.0363,22.4502,sanctuary/temple
place,Styx,12.207,380222WSty,"Styx R. (Achaia) 151 Mavronero, above Solos - Στύξ",37.9836,22.2039,river
place,Therapne,12.207,371225UThe,Therapne (Lakonia) 55 SE Sparta - Θεράπναι,37.0736,22.534,polity
demonym,Olympian,12.292,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Maeonia,12.394,388283RMai,Maionia region (Ionia) 80 Menye - Μαιονία,38.6,28.0,region/people
demonym,Phrygian,12.70,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
demonym,Paphian,12.70,348326SAPa,Paphia Aphrodite sanct. (Cyprus) 123 Kouklia - Παφίας Αφροδίτης,34.707,32.574,sanctuary/temple
place,Sipylos,12.70,386275LSip,Sipylos Mt. (Lydia) 82 Spil Dagi - Σίπυλος,38.567,27.456,mountain
ethnic,Indians,13.1,300740RInd,India (Asia) 1628 India - Ινδία,30.0,74.0,region/people
demonym,Boiotian,13.120,384233RBoi,Boiotia region (Boeotia) 1673 Viotia - Βοιωτία,38.35,23.25,region/people
demonym,Indian,13.120,300740RInd,India (Asia) 1628 India - Ινδία,30.0,74.0,region/people
demonym,Delphian,13.122,385225SDel,"Delphic Oracle, Pytho (Delphi) 1539 Delphous - Δελφοί",38.48264,22.50108,sanctuary/temple
demonym,Aonian,13.122,384233RBoi,Boiotia region (Boeotia) 1673 Viotia - Βοιωτία,38.35,23.25,region/people
place,Phocis,13.122,386227RPho,Phokis region (Central Greece) 781 Phokida - Φωκίς,38.6,22.7,region/people
place,Cyparissos,13.122,385226UKyp,Kyparissos? (Phokis) 20 Zemeno - Κυπάρισσος,38.474,22.633,polity
place,Hyampolis,13.122,386229PHya,Hyampolis (Phokis) 49 Exarkhos (Bogdanou) - Υάμπολις,38.5961,22.9054,polity
place,Crisa,13.122,384225UKri,Krisa (Phokis) 104 Chryso - Κρισά,38.4712,22.469,polity
place,Daulis,13.122,385227PDau,Daulis (Boeotia) 66 Davleia/Kastro - Δαυλίς,38.5055,22.7318,polity
place,Panopeus,13.122,385228UPan,Panopeos/Phanotis (Boeotia) 68 Ag. Vlasios - Πανόπη,38.495,22.795,polity
place,Parnassos,13.122,385226LPar,Parnassus Mt. (Phokis) 272 Parnassos - Παρνασσός,38.5354,22.6219,mountain
place,Castalia,13.122,385225WCas,Castalia (Phokis) 80 Castalian spring - Κασταλία,38.483,22.505,spring
ethnic,Abantes,13.135,388238RAba,Abantes tribe (Euboea) 39 Euboia - Αβαντίς,38.75,23.5,region/people
ethnic,Abantes,13.135,388238RAba,Abantes tribe (Euboea) 39 Euboia - Αβαντίς,38.75,23.5,region/people
ethnic,Ellopians,13.135,389231UHel,Hellopia (Euboea) 23 Kastaniotissa? - Ελλοπία,38.9118,23.136,polity
demonym,Euboian,13.135,385239IEub,Euboia (Euboea) 740 Evia - Εύβοια,38.53,23.87,island
demonym,Phrygian,13.135,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
demonym,Cnossian,13.135,353252PKno,Knossos (Crete) 147 Knosos - Κνωσσός,35.2978,25.1631,polity
demonym,Cotylaian,13.135,388238LKot,Kotylaion Mt. (Euboea) 7 Mavrovouni - Κοτύλαιον,38.601,24.008,mountain
place,Crete,13.135,352252IKre,Crete (Greece) 1562 Kriti - Κρήτη,35.2052,25.1836,region/people
