mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
ethnic,Athenians,7.63,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Corinthians,7.63,379229PKor,Corinth/Korinthos (Korinthia) 1749 Archaia Korinthos - Κόρινθος,37.9054,22.8802,polity
ethnic,Siceliots,7.63,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
ethnic,Athenians,7.64,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.64,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Lacedaemonians,7.64,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
ethnic,Syracusans,7.65,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.65,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.66,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.66,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
place,Sicily,7.66,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
place,Peloponnese,7.66,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
ethnic,Acarnanians,7.67,388210RAka,Akarnania region (Akarnania) 435 Akarnania - Ακαρνανία,38.8,21.0,region/people
place,Sicily,7.68,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
ethnic,Athenians,7.69,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
demonym,Syracusan,7.69,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Corinthians,7.7,379229PKor,Corinth/Korinthos (Korinthia) 1749 Archaia Korinthos - Κόρινθος,37.9054,22.8802,polity
ethnic,Ambraciots,7.7,390209UAmb,Ambracus (Arta) 92 Phidokastro - Άμβρακος,39.0419,20.9538,harbor
ethnic,Leucadians,7.7,387207PLeu,Leukas (Ionian Islands) 213 Leukada - Λευκάς,38.81,20.717,polity
ethnic,Syracusans,7.7,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.7,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
place,Sicily,7.7,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
place,Lacedaemon,7.7,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
ethnic,Syracusans,7.70,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.70,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Corinthians,7.70,379229PKor,Corinth/Korinthos (Korinthia) 1749 Archaia Korinthos - Κόρινθος,37.9054,22.8802,polity
ethnic,Athenians,7.71,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.71,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Lacedaemonians,7.71,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
place,Pylos,7.71,370217UPyl,Pylos/Koryphasion cape (Messenia) 112 Akr. Koryphasiou - Πύλος,36.9517,21.66,polity
ethnic,Syracusans,7.72,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.72,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.73,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.73,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
place,Sicily,7.73,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
ethnic,Syracusans,7.74,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.74,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Athenians,7.77,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Sicels,7.77,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
ethnic,Syracusans,7.77,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
