mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Libya,1.77,300070RLib,Libya (Africa) 1525 North Africa - Λιβύη,32.01,10.01,region/people
ethnic,Thracians,1.774,410265RThr,Thrace region (Evros) 1818 Thraki - Θραίκη,41.0,26.5,region/people
place,Aegean sea,1.774,381253WAeg,Aegean Sea (Hellas) 235 Aegean - Αιγαίον πέλαγος,38.1,25.3,sea/strait
place,Lemnos,1.842,399253ILem,Lemnos (Aegean) 341 Lemnos - Λήμνος,39.93,25.21,island
place,Lemnos,1.853,399253ILem,Lemnos (Aegean) 341 Lemnos - Λήμνος,39.93,25.21,island
place,Oichalia,1.86,368228UOic,Oichalia? (Messenia?) 63 unknown - Οιχαλία,37.268,21.947,mythic site
demonym,Pelasgian,1.899,398223UPel,Pelasgiotis region (Thessaly) 268 Thessalia - Πελασγία,39.5,22.5,region/people
place,Iolcus,1.899,394230UIol,Iolkos (Magnesia) 102 Volos Kastro - Ιωλκός,39.3663,22.9689,polity
demonym,Attic,1.90,379239RAtt,Attica region (Hellas) 1518 Attiki - Αττική,37.9,23.9,region/people
place,Aigina,1.90,378234PAig,Aigina polis (Aegina) 464 Aigina - Αίγινα,37.75,23.425,polity
place,Phthia,1.90,393223RPht,Achaea Phthiotis region (Phthiotis) 199 Phthiotida - Φθιώτας Αχαιούς,39.2,22.5,region/people
place,island of Electra,1.910,405255PSam,Samothrake (Samothrace) 159 Paleopolis - Σαμοθραίκη,40.5039,25.5348,polity
ethnic,Thracians,1.922,410265RThr,Thrace region (Evros) 1818 Thraki - Θραίκη,41.0,26.5,region/people
demonym,Rhoeteian,1.922,400263URho,Rhoiteion (Troad) 51 Baba Kale - Ροίτειον,40.0093,26.3003,polity
place,Imbros,1.922,402259PImb,Imbros (Aegean) 77 Kalekoy - Ίμβρος,40.2331,25.903,polity
place,Chersonesus,1.922,403265LChe,Chersonesus (Thrace) 293 Gallipoli Peninsula - Χερσόνησος,40.3333,26.5,region/people
place,Ida,1.922,397268LIda,Ida Mt. (Troad) 335 Kaz daglari - Ίδα,39.6922,26.8423,mountain
place,Dardania,1.922,401264UDar,Dardanos (Troad) 123 Dardanos Bataryasi - Δάρδανος,40.086,26.3725,polity
place,Abydus,1.922,402264PAby,Abydos (Troad) 215 Nara Burnu - Άβυδος,40.1951,26.4091,polity
place,Percote,1.922,403266UPer,Perkote (Mysia) 33 Umurbey - Περκώτη,40.2739,26.5888,polity
place,Abarnis,1.922,404267UAba,Abarnis (Mysia) 6 Çardak - Άβαρνος,40.3783,26.7344,polity
place,Pityeia,1.922,403267UPit,Lampsacus/Pityoussa (Mysia) 198 Lapseki/Çanakkale - Λάμψακος,40.3467,26.6992,polity
place,Hellespont,1.922,402264WHel,Hellespont (Thrace) 730 Dardanelles - Ελλήσποντός,40.2,26.4,sea/strait
ethnic,Ionians,1.936,375275RIon,Ionia region (Asia Minor) 884 Izmir - Ιωνία,38.0,27.3,region/people
demonym,Phrygian,1.936,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
place,Propontis,1.936,408280WPro,Propontis (Turkey) 194 Sea of Marmara - Προποντίς,40.75,28.0,sea/strait
place,Aesepus,1.936,403278WAis,Aisepos R. (Mysia) 51 Gonen Cayi - Αίσηπος,40.2674,27.6022,river
place,island,1.936,405279IArc,Arctonnesos (Propontis) 5 Erdek peninsula - Αρκτόνησος,40.46,27.87,island
place,Thrace,1.936,410265RThr,Thrace region (Evros) 1818 Thraki - Θραίκη,41.0,26.5,region/people
place,Cecropia,1.95,379239RAtt,Attica region (Hellas) 1518 Attiki - Αττική,37.9,23.9,region/people
place,Taenarus,1.95,364225STai,Tainaron Poseidon sanctuary (Lakonia) 116 Tainaron - Ταίναρος,36.4018,22.4867,sanctuary/temple
place,Propontis,1.961,408280WPro,Propontis (Turkey) 194 Sea of Marmara - Προποντίς,40.75,28.0,sea/strait
place,Dindymum,1.961,405277LDin,Dindymon mountain (Propontis) 15 Kapidag,40.433,27.911,mountain
person,Percosian,1.961,403266UPer,Perkote (Mysia) 33 Umurbey - Περκώτη,40.2739,26.5888,polity
person,Bithynian,2.1,405295RBit,Bithynia region (Asia Minor) 589 Yalova - Βιθυνία,40.5,29.5,region/people
ethnic,Tibareni,2.1009,410380RTib,Tibarenoi tribe (Pontus) 30 Ordu - Τιβαρηνοί,40.96,38.0,region/people
ethnic,Mossynoeci,2.1015,408387RMos,Mossynoikoi tribe (Pontus) 39 Giresun - Μοσσύνοικοι,40.8,38.7,region/people
demonym,Stymphalian,2.1047,379225PSty,Stymphalos (Korinthia) 108 Stymphalia - Στύμφαλος,37.8606,22.4618,polity
place,Arcadia,2.1047,375223RArk,Arkadia region (Arkadia) 1437 Arkadia - Αρκαδία,37.5,22.3,region/people
ethnic,Mossynoeci,2.1090,408387RMos,Mossynoikoi tribe (Pontus) 39 Giresun - Μοσσύνοικοι,40.8,38.7,region/people
demonym,Colchian,2.1090,431423RCol,Colchis (Pontus) 391 Georgia - Κολχίς,42.12,42.28,region/people
place,Orchomenus,2.1090,377223POrc,Orchomenos (Arkadia) 150 Orchomenos - Ορχομενός,37.7247,22.3154,polity
place,Pelion,2.1168,394230LPel,Pelion Mt. (Magnesia) 226 Pelion - Πήλιον,39.437,23.046,mountain
ethnic,Colchians,2.1196,431423RCol,Colchis (Pontus) 391 Georgia - Κολχίς,42.12,42.28,region/people
place,Caucasus,2.1196,433424LCau,Caucasus Mt. (Pontus) 244 Kafkaz - Καύκασος,43.351,42.45,mountain
place,Nysa,2.1196,000000LNys,Nysa Mt.? (Egypt) 71 mythical - Νύσα,28.539,33.975,mountain
