mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Lydia,1.35.7,385280RLyd,Lydia region (Asia Minor),38.5,28,region/people
place,Temenou Thyrai,1.35.7,387294UTeT,Temenou Thyrai,38.679,29.41,
place,Gadeira,1.35.8,365-063PGad,Gadeira (Iberia),36.499,-6.266,polity
ethnic,Lydians,1.35.8,385280RLyd,Lydia region (Asia Minor),38.5,28,region/people
place,Salamis,1.36.1,379235PSal,Salamis (Salamis),37.952,23.5408,polity
ethnic,Athenians,1.36.1,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Persians,1.36.1,295540RPer,Persia (Asia),29.5,54,region/people
ethnic,Athenians,1.36.1,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Salamis,1.36.2,379235PSal,Salamis (Salamis),37.952,23.5408,polity
place,Psyttalea,1.36.2,379236IPsy,Psyttaleia (Attica),37.942,23.588,island
ethnic,Persians,1.36.2,295540RPer,Persia (Asia),29.5,54,region/people
place,Psyttalea,1.36.2,379236IPsy,Psyttaleia (Attica),37.942,23.588,island
place,Eleusis,1.36.3,380235PEle,Eleusis (Attica),38.0441,23.5415,polity
place,Athens,1.36.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Athenians,1.36.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Sacred Way,1.36.3,380237XIer,Iera Odos exc. (Attica),37.992,23.682,site/excavation
ethnic,Megarians,1.36.3,380233PMeg,Megara (Megarid),37.997,23.34285,polity
ethnic,Athenians,1.36.4,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Euboea,1.36.4,385239IEub,Euboia (Euboea),38.53,23.87,island
ethnic,Eleusinians,1.36.4,380235PEle,Eleusis (Attica),38.0441,23.5415,polity
place,Dodona,1.36.4,395208SDod,Dodona (Ioannina),39.5464,20.7878,sanctuary/temple
place,Phalerum,1.36.4,379237DPha,Phaleron (Attica),37.9373,23.7062,deme
place,sanctuary,1.36.4,380237SAtS,Athens Skiras sanct. (Attica),37.933,23.6902,sanctuary/temple
ethnic,Eleusinians,1.36.4,380235PEle,Eleusis (Attica),38.0441,23.5415,polity
place,Macedon,1.36.5,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
place,Athens,1.36.5,380237PAth,Athens (Attica),37.9718,23.72793,polity
person,Mysian,1.36.5,375275RMys,Mysia region (Asia Minor),40,28,region/people
person,Egyptian,1.36.5,271307REgy,Aigyptos (Egypt),27.1,30.7,region/people
ethnic,Aetolians,1.36.5,386215RAit,Aitolia region (Aitolia),38.6,21.5,region/people
ethnic,Rhodians,1.36.5,364282IRho,Rhodes (Dodecanese),36.4408,28.2244,polity
ethnic,Cretans,1.36.5,352252IKre,Crete (Greece),35.2052,25.1836,region/people
place,Egypt,1.36.6,271307REgy,Aigyptos (Egypt),27.1,30.7,region/people
place,Mysia,1.36.6,375275RMys,Mysia region (Asia Minor),40,28,region/people
place,Crete,1.36.6,352252IKre,Crete (Greece),35.2052,25.1836,region/people
ethnic,Rhodians,1.36.6,364282IRho,Rhodes (Dodecanese),36.4408,28.2244,polity
demonym,Macedonian,1.36.6,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
ethnic,Athenians,1.36.6,380237PAth,Athens (Attica),37.9718,23.72793,polity
